Name,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9
Poppy Cocktail,Gin,Creme de Cacao,,,,,,,,1.5,0.75,,,,,,,
Port And Starboard,Grenadine,Green Creme de Menthe,,,,,,,,0.3,0.5,,,,,,,
Port Wine Cocktail,Port,Brandy,,,,,,,,2.5,0.05,,,,,,,
Port Wine Flip,Port,Light cream,Powdered sugar,Egg,Nutmeg,,,,,1.5,0.2,0.1,1,,,,,
Porto flip,Brandy,Port,Egg Yolk,,,,,,,3,9,2,,,,,,
Pysch Vitamin Light,Orange juice,Apple juice,Pineapple juice,Ice,,,,,,1,1,1,,,,,,
Quaker's Cocktail,Light rum,Brandy,Lemon,Raspberry syrup,,,,,,0.75,0.75,0.25,0.2,,,,,
Quarter Deck Cocktail,Light rum,Sherry,Lime,,,,,,,1 1/2,0.33,0.5,,,,,,
Queen Bee,Coffee brandy,Lime vodka,Sherry,,,,,,,1,1.5,0.5,,,,,,
Queen Charlotte,Red wine,Grenadine,Lemon-lime soda,,,,,,,2,1,,,,,,,
Queen Elizabeth,Dry Vermouth,Gin,Benedictine,,,,,,,0.5,1.5,1.5,,,,,,
Quentin,Dark rum,Kahlua,Light cream,Nutmeg,,,,,,1.5,0.5,1,0.0175,,,,,
Quick-sand,Black Sambuca,Orange juice,,,,,,,,25,250,,,,,,,
Radioactive Long Island Iced Tea,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,1,1,1,1,1,1,1,1,
Radler,Beer,7-Up,,,,,,,,12,12,,,,,,,
Rose,Dry Vermouth,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,,,,0.5,1,0.5,0.05,0.1,,,,
Royal Fizz,Gin,Sweet and sour,Egg,Coca-Cola,,,,,,1,2,1,,,,,,
Royal Gin Fizz,Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,2,0.5,0.1,1,8,,,,
Rum Cobbler,Sugar,Club soda,Lemon,Dark rum,Maraschino cherry,Orange,,,,0.1,3,1,2,,,,,
Rum Cooler,Rum,Lemon-lime soda,Lemon,,,,,,,2,4,1,,,,,,
Rum Milk Punch,Light rum,Milk,Powdered sugar,Nutmeg,,,,,,2,8,0.1,,,,,,
Rum Old-fashioned,Light rum,151 proof rum,Powdered sugar,Bitters,Water,Lime peel,,,,1.5,0.1,0.05,0.01,0.1,,,,
Rum Screwdriver,Light rum,Orange juice,,,,,,,,1.5,5,,,,,,,
Rum Sour,Light rum,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,2,1,0.05,,,,,,
Rum Toddy,Rum,Powdered sugar,Lemon peel,Water,,,,,,2,0.2,,0.2,,,,,
Russian Spring Punch,Vodka,Creme de Cassis,Sugar Syrup,Lemon Juice,,,,,,2.5,1.5,1,2.5,,,,,
Rusty Nail,Scotch,Drambuie,Lemon peel,,,,,,,1.5,0.5,,,,,,,
Salty Dog,Grapefruit juice,Gin,Salt,,,,,,,5,1.5,0.025,,,,,,
San Francisco,Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,2,2,,,,,,,
Sazerac,Ricard,Sugar,Peychaud bitters,Water,Bourbon,Lemon peel,,,,0.1,0.05,0.02,0.1,2,,,,
Scooter,Brandy,Amaretto,Light cream,,,,,,,1,1,1,,,,,,
Scotch Cobbler,Scotch,Brandy,Curacao,Orange,Mint,,,,,2,0.04,0.04,,,,,,
Scotch Sour,Scotch,Lime,Powdered sugar,Lemon,Cherry,,,,,1.5,0.5,0.05,,,,,,
Screaming Orgasm,Vodka,Baileys irish cream,Kahlua,,,,,,,1,1.5,0.5,,,,,,
Screwdriver,Vodka,Orange juice,,,,,,,,2,8,,,,,,,
Sea breeze,Vodka,Cranberry juice,Grapefruit juice,,,,,,,1.5,4,1,,,,,,
Sex on the Beach,Vodka,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,1,0.75,,,,,,,
Shanghai Cocktail,Light rum,Anisette,Grenadine,Lemon,,,,,,1,0.1,0.05,0.25,,,,,
Sherry Eggnog,Sherry,Powdered sugar,Egg,Milk,Nutmeg,,,,,2,0.1,1,4,,,,,
Sherry Flip,Sherry,Light cream,Powdered sugar,Egg,Nutmeg,,,,,1.5,0.2,0.1,1,,,,,
Sidecar,Cognac,Cointreau,Lemon juice,,,,,,,2,0.5,1,,,,,,
Sidecar Cocktail,Brandy,Triple sec,Lemon,,,,,,,1,0.5,0.25,,,,,,
Singapore Sling,Cherry brandy,Grenadine,Gin,Sweet and sour,Carbonated water,Cherry,,,,0.5,0.5,1,2,,,,,
Sloe Gin Cocktail,Sloe gin,Dry Vermouth,Orange bitters,,,,,,,2,0.025,0.01,,,,,,
Snowball,Advocaat,Lemonade,Lemon,Ice,,,,,,1.5,10,,,,,,,
Sol Y Sombra,Brandy,Anisette,,,,,,,,1.5,1.5,,,,,,,
Space Odyssey,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,1,1,1,,,,,,
Spritz,Prosecco,Campari,Soda Water,,,,,,,6,4,0.5,,,,,,
Stinger,Brandy,White Creme de Menthe,,,,,,,,1.5,0.5,,,,,,,
Stone Sour,Apricot brandy,Orange juice,Sweet and sour,,,,,,,1,1,1,,,,,,
Strawberry Daiquiri,Strawberry schnapps,Light rum,Lime juice,Powdered sugar,Strawberries,,,,,0.5,1,1,0.1,1,,,,
Strawberry Margarita,Strawberry schnapps,Tequila,Triple sec,Lemon juice,Strawberries,Salt,,,,0.5,1,0.5,1,1,,,,
Surf City Lifesaver,Ouzo,Baileys irish cream,Gin,Grand Marnier,,,,,,1,1,2,0.5,,,,,
Tequila Fizz,Tequila,Lemon juice,Grenadine,Egg white,Ginger ale,,,,,2,0.3,0.75,1,,,,,
Tequila Sour,Tequila,Lemon,Powdered sugar,Lemon,Cherry,,,,,2,0.5,0.1,,,,,,
Thriller,Scotch,Wine,Orange juice,,,,,,,1.5,1,1,,,,,,
Tom Collins,Gin,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,2,1,0.1,3,,,,,
Tommy's Margarita,Tequila,Lime Juice,Agave syrup,,,,,,,4.5,1.5,0.1,,,,,,
Turf Cocktail,Dry Vermouth,Gin,Anis,Bitters,Orange peel,,,,,1,1,0.025,0.02,,,,,
Tuxedo Cocktail,Dry Vermouth,Gin,Maraschino liqueur,Anis,Orange bitters,Cherry,,,,1.5,1.5,0.025,0.025,0.02,,,,
Valencia Cocktail,Apricot brandy,Orange juice,Orange bitters,,,,,,,1.5,0.3,0.02,,,,,,
Vampiro,Tequila,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,Salt,,,,6,3,3,1.5,0.01,0.001,,,
Van Vleet,Light rum,Maple syrup,Lemon juice,,,,,,,3,1,1,,,,,,
Vermouth Cassis,Dry Vermouth,Creme de Cassis,Carbonated water,,,,,,,1.5,0.75,,,,,,,
Vesuvio,Light rum,Sweet Vermouth,Lemon,Powdered sugar,Egg white,,,,,1,0.5,0.5,0.1,1,,,,
Veteran,Dark rum,Cherry brandy,,,,,,,,2,0.5,,,,,,,
Victor,Gin,Sweet Vermouth,Brandy,,,,,,,1.5,0.5,0.5,,,,,,
Victory Collins,Vodka,Lemon juice,Grape juice,Powdered sugar,Orange,,,,,1.5,3,3,0.1,,,,,
Vodka And Tonic,Vodka,Tonic water,,,,,,,,2,8,,,,,,,
Vodka Martini,Vodka,Dry Vermouth,Olive,,,,,,,1.5,0.75,,,,,,,
Vodka Russian,Vodka,Schweppes Russchian,,,,,,,,2,8,,,,,,,
Waikiki Beachcomber,Triple sec,Gin,Pineapple juice,,,,,,,0.75,0.75,0.3,,,,,,
Whiskey Sour,Blended whiskey,Lemon,Powdered sugar,Cherry,Lemon,,,,,2,0.5,0.05,,,,,,
Whisky Mac,Scotch,Wine,,,,,,,,1.5,1,,,,,,,
White Lady,Gin,Triple Sec,Lemon Juice,,,,,,,4,3,2,,,,,,
White Russian,Vodka,Coffee liqueur,Light cream,,,,,,,2,1,,,,,,,
Zenmeister,Jägermeister,Root beer,,,,,,,,0.5,0.5,,,,,,,
Ziemes Martini Apfelsaft,Vermouth,Apple juice,,,,,,,,4,16,,,,,,,
Zima Blaster,Zima,Chambord raspberry liqueur,,,,,,,,12,3,,,,,,,
'57 Chevy with a White License Plate,Creme de Cacao,Vodka,,,,,,,,1,1,,,,,,,
155 Belmont,Dark rum,Light rum,Vodka,Orange juice,,,,,,1,2,1,1,,,,,
747 Drink,Vodka,Roses sweetened lime juice,Cranberry Juice,Sprite,,,,,,1,1,1,2,,,,,
9 1/2 Weeks,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,2,0.5,0.5,1,,,,,
A Gilligan's Island,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,1,1,3,3,,,,,
A True Amaretto Sour,Amaretto,Lemon,Ice,Maraschino cherry,,,,,,1 jigger ,Juice of 1/2 ,,,,,,,
A.D.M. (After Dinner Mint),White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,0.5,0.75,0.5,3,,,,,
A1,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,1.75,1,0.25,0.0175,,,,,
Abbey Martini,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,2,1,1,0.03,,,,,
Absolut Summertime,Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,,,,,1.5,0.75,0.5,0.3,,,,,
Absolutely Fabulous,Vodka,Cranberry Juice,Champagne,,,,,,,1,2,4,,,,,,
Absolutly Screwed Up,Absolut Citron,Orange juice,Triple sec,Ginger ale,,,,,,1,1,1,4,,,,,
Ace,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,2,0.5,0.5,0.5,0.5,,,,
Adam & Eve,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,1,1,1,0.125,,,,,
Addington,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,2,1,"Top up with
",,,,,,
Addison,Gin,Vermouth,,,,,,,,1.5,1.5,,,,,,,
Addison Special,Vodka,Grenadine,Orange juice,,,,,,,1.5,0.3,6,,,,,,
Adios Amigos Cocktail,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,1,0.5,0.5,0.5,0.25,0.25,0.5,,
Afterglow,Grenadine,Orange juice,Pineapple juice,,,,,,,1,4,4,,,,,,
Alice Cocktail,Grenadine,Orange juice,Pineapple juice,Cream,,,,,,1,1,2,4,,,,,
Amaretto fizz,Amaretto,Orange Juice,White Wine,Orange Peel,,,,,,4,6,15,,,,,,
Aperol Spritz,Aperol,Prosecco,Soda Water,,,,,,,10,15,25,,,,,,
Apple Karate,Apple juice,Carrot,,,,,,,,2,,,,,,,,
Applejack,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,1,0.5,2,,,,,,
Aquamarine,Hpnotiq,Pineapple Juice,Banana Liqueur,,,,,,,2,1,1,,,,,,
Arizona Stingers,Absolut Vodka,Iced tea,,,,,,,,3,12,,,,,,,
Arizona Twister,Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,Pineapple,1.5,1.5,1.5,0.5,0.5,0.5,0.01,,
Army special,Vodka,Gin,Lime juice cordial,Ice,,,,,,30,30,45,,,,,,
Aviation,Gin,lemon juice,maraschino liqueur,,,,,,,4.5,1.5,1.5,,,,,,
Bahama Mama,Rum,Dark Rum,Banana liqueur,Grenadine,Pineapple Juice,Orange Juice,Sweet and Sour,,,3,1,1,1,2,2,1,,
Banana Cream Pi,Malibu Rum,Banana Liqueur,Pineapple Juice,,,,,,,1 oz,1 oz,Top,,,,,,
Bee's Knees,Gold rum,Orange Juice,Lime Juice,Triple Sec,,,,,,6 cl,2 cl,2 cl,2 jiggers,,,,,
Bijou,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,1 dash,1 oz,1 oz,1 oz,,,,,
Blue Hurricane,Rum,Dark Rum,Passoa,Blue Curacao,Sweet and Sour,Ice,,,,4 parts,2 parts,1 part,1 part,6 parts,cubes,,,
Blueberry Mojito,Dark Rum,Lime Juice,Sugar,Blueberries,Lemon-lime soda,,,,,2 shots,1 shot,Dash,Whole,Top,,,,
Bombay Cassis,Gin,Creme de Cassis,Fresh Lime Juice,Ginger beer,Lime,Ginger,,,,50 ml,20 ml,15 ml,75 ml,1,1 long strip,,,
Bora Bora,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,10 cl ,6 cl ,1 cl ,1 cl ,,,,,
Boulevardier,Campari,Sweet Vermouth,Rye whiskey,Orange Peel,,,,,,1 oz,1 oz,1 1/4 oz,1,,,,,
Bounty Hunter,Rum,Coconut Liqueur,Blueberries,Pineapple Juice,Prosecco,,,,,1 shot,1 shot,Garnish with,Dash,Top,,,,
Brigadier,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,,,,4 oz,1 oz,1 oz,,,,,,
Broadside,151 proof rum,Scotch,Bitters,Wormwood,Ice,,,,,1.5,0.75,0.003,,,,,,
Brooklyn,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,2,1,0.25,0.03,,,,,
Captain Kidd's Punch,Rum,Lime Juice,Egg White,Bitters,Sugar,Nutmeg,,,,3,1.5,1.5,0.01,,,,,
Cherry Electric Lemonade,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,1,1,1,1,1,1,1,3,
Corn n Oil,Lime,Falernum,Angostura Bitters,Añejo rum,blackstrap rum,,,,,2-Jan,1/3 oz,2 dashes,1 oz,1 oz,,,,
Corpse Reviver #2,Gin,Triple Sec,Lillet Blanc,Lemon Juice,Absinthe,,,,,3/4 oz,3/4 oz,3/4 oz,3/4 oz,1 dash,,,,
Cosmopolitan,Absolut Citron,Lime juice,Cointreau,Cranberry juice,,,,,,1 1/4 oz ,1/4 oz ,1/4 oz ,1/4 cup ,,,,,
Cosmopolitan Martini,Cointreau,Vodka,Lime,Cranberry juice,,,,,,1/2 oz ,1 oz ,Juice of 1/2 ,1 splash ,,,,,
Cream Soda,Spiced rum,Ginger ale,,,,,,,,1 oz ,,,,,,,,
Dark Caipirinha,demerara Sugar,Lime,Cachaca,,,,,,,2 tsp ,1,2 1/2 oz,,,,,,
Death in the Afternoon,Absinthe,Champagne,,,,,,,,2 shots,Top,,,,,,,
Dirty Martini,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,2,0.1,0.2,,,,,,
Dry Martini,Gin,Dry Vermouth,Olive,,,,,,,1.67,0.33,,,,,,,
Duchamp's Punch,Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,,5 cl,2.5 cl,2.5 cl,1.5 cl,2 Dashes,,,,
Empellón Cocina's Fat-Washed Mezcal,Mezcal,Chocolate liqueur,Coffee liqueur,,,,,,,2,0.75,0.5,,,,,,
Espresso Martini,Vodka,Kahlua,Sugar syrup,,,,,,,5 cl,1 cl,1 dash,,,,,,
Espresso Rumtini,Rum,Vanilla syrup,Espresso,Coffee,,,,,,1,0.5,1,1,,,,,
Flaming Lamborghini,Kahlua,Sambuca,Blue Curacao,Baileys irish cream,,,,,,1,1,1,1,,,,,
French Martini,Vodka,Raspberry Liqueur,pineapple juice,,,,,,,4.5,1.5,1.5,,,,,,
French Negroni,Gin,Lillet,Sweet Vermouth,Orange Peel,,,,,,1,1,1,,,,,,
Funk and Soul,Rum,Apricot Nectar,Pomegranate juice,lemon,Soda Water,,,,,2 shots,1 shot,1 shot,Juice of 1/2,Top,,,,
Gagliardo,Peach Vodka,Lemon juice,Galliano,Sirup of roses,,,,,,5,3,1,1,,,,,
Gimlet,Gin,Lime Juice,Sugar Syrup,Lime,,,,,,2.5,0.5,0.5,,,,,,
Gin Basil Smash,Gin,Lemon Juice,Sugar Syrup,Basil,,,,,,6,2,2,,,,,,
Gin Rickey,Gin,Grenadine,lemon,Soda Water,Lime,,,,,2 oz ,1 tsp ,Juice of 1/2 ,Top up with,Garnish,,,,
Greyhound,Vodka,Grapefruit Juice,,,,,,,,1.5,3,,,,,,,
Honey Bee,White Rum,Honey,Lemon Juice,,,,,,,6,2,2,,,,,,
Hunter's Moon,Vermouth,Maraschino Cherry,Sugar Syrup,Lemonade,Blackberries,,,,,25,15,10,100,,,,,
Imperial Cocktail,Lime juice,Gin,Aperol,,,,,,,4,2,4,,,,,,
Irish Curdling Cow,Baileys irish cream,Bourbon,Vodka,Orange juice,,,,,,0.75,0.75,0.75,3,,,,,
Jitterbug,Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,
Lazy Coconut Paloma,Coconut Liqueur,Grapefruit Juice,Soda Water,,,,,,,30 ml,75 ml,Top,,,,,,
Lemon Drop,Absolut Vodka,Cointreau,Lemon,,,,,,,1.5,1.5,0.25,,,,,,
Malibu Twister,Malibu rum,Tropicana,Cranberry juice,,,,,,,2,2,1,,,,,,
Manhattan,Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel,,,,0.75,2.5,0.01,,,,,,
Martinez 2,Gin,Sweet Vermouth,Maraschino Liqueur,Angostura Bitters,,,,,,1.5,1.5,0.1,0.02,,,,,
Martinez Cocktail,Gin,Dry Vermouth,Triple sec,Orange bitters,Cherry,,,,,1,1,0.25,0.01,,,,,
Martini,Gin,Dry Vermouth,Olive,,,,,,,1.67,0.333,,,,,,,
Mary Pickford,Light rum,Pineapple juice,Maraschino liqueur,Grenadine,Maraschino cherry,,,,,1.5,1,0.05,0.05,1,,,,
Miami Vice,151 proof rum,Pina colada mix,Daiquiri mix,,,,,,,5,frozen ,frozen ,,,,,,
Midnight Mint,Baileys irish cream,White Creme de Menthe,Cream,,,,,,,1,0.75,0.75,,,,,,
Mojito,Light rum,Lime,Sugar,Mint,Soda water,,,,,3,Juice of 1 ,0.2,,6,,,,
Mojito #3,Mint,Lemon juice,Dark rum,Club soda,Angostura bitters,,,,,,3 cl ,1/8 L Jamaican ,1/8 L ,8 drops ,,,,
Munich Mule,Gin,Lime Juice,Ginger Beer,Cucumber,lemon,,,,,5,2,10,,,,,,
New York Lemonade,Absolut Citron,Grand Marnier,Lemon juice,Club soda,,,,,,2,1,2,1,,,,,
Oatmeal Cookie,Kahlua,Bailey,Butterscotch schnapps,Jagermeister,Goldschlager,,,,,2,2,4,1,0.5,,,,
Old Fashioned,Bourbon,Angostura bitters,Sugar,Water,,,,,,4.5,0.02,,0.01,,,,,
Old Pal,Rye whiskey,Campari,Dry Vermouth,,,,,,,2,1,1,,,,,,
Orangeade,Lemon juice,Orange juice,Sugar syrup,Soda water,,,,,,5,15,3,,,,,,
Paloma,Grape Soda,Tequila,,,,,,,,3,1.5,,,,,,,
Passion Fruit Martini,Vodka,Sugar Syrup,Passion fruit juice,,,,,,,1,0.5,7.5,,,,,,
Pegu Club,Gin,Orange Curacao,Lime Juice,Angostura Bitters,Orange Bitters,,,,,1.5,0.75,0.75,0.01,0.01,,,,
Penicillin,Blended Scotch,Lemon Juice,Honey syrup,Ginger Syrup,Islay single malt Scotch,,,,,2,0.75,0.2,0.2,0.25,,,,
Pineapple Paloma,Tequila,Grapefruit Juice,Fresh Lime Juice,Pineapple Juice,Lime,Pepper,,,,4,4,1,8,,,,,
Pisco Sour,Pisco,Lemon juice,Sugar,Ice,,,,,,2,1,0.1,,,,,,
Rail Splitter,Sugar syrup,Lemon juice,Ginger ale,,,,,,,2,?,?,,,,,,
Raspberry Julep,Bourbon,Raspberry syrup,Mint,,,,,,,2,0.5,,,,,,,
Rosemary Blue,Gin,Blue Curacao,Tonic Water,Rosemary,,,,,,50 ml,15 ml,100 ml,Garnish with,,,,,
Ruby Tuesday,Gin,Cranberry juice,Grenadine,,,,,,,2,5,0.4,,,,,,
Salted Toffee Martini,Gin,Chocolate liqueur,Amaretto,Chocolate Sauce,Salted Chocolate,,,,,50 ml ,30 ml ,15 ml,Garnish,Grated,,,,
Shark Attack,Lemonade,Water,Vodka,,,,,,,1 can ,3 cans ,1 1/2 cup ,,,,,,
Smashed Watermelon Margarita,Watermelon,Mint,Grapefruit Juice,Lime,Tequila,Watermelon,Mint,,,1/2 cup,,1/3 Cup,Juice of 1/2,1 shot,,,,
Spice 75,Sugar,Allspice,Rum,Lime Juice,Champagne,Orange spiral,,,,60 ml,1 tblsp,20 cl,90 ml,6 cl,,,,
Spritz Veneziano,Prosecco,Aperol,Soda Water,,,,,,,6 cl,4 cl,Top,,,,,,
Tequila Sunrise,Tequila,Orange juice,Grenadine,,,,,,,2 measures ,,,,,,,,
The Evil Blue Thing,Creme de Cacao,Blue Curacao,Light rum,,,,,,,1.5,1,0.5,,,,,,
The Jimmy Conway,Irish Whiskey,Amaretto,Cranberry Juice,,,,,,,50 ml,50 ml,4 oz,,,,,,
The Last Word,Green Chartreuse,Maraschino Liqueur,Lime Juice,,,,,,,1,1,1,,,,,,
The Laverstoke,Gin,Elderflower cordial,Rosso Vermouth,Tonic Water,Lime,Ginger,Mint,,,50,15,15,75,,,,,
The Philosopher,Gin,Melon Liqueur,Orange Bitters,Lemon Juice,Prosecco,,,,,1,1,0.1,0.1,3,,,,
Tipperary,Irish Whiskey,Sweet Vermouth,Green Chartreuse,,,,,,,2,1,0.5,,,,,,
Vesper,Gin,Vodka,Lillet Blanc,,,,,,,6,1.5,0.75,,,,,,
Yellow Bird,White Rum,Galliano,Triple Sec,Lime Juice,,,,,,3,1.5,1.5,1.5,,,,,
Zippy's Revenge,Amaretto,Rum,Kool-Aid,,,,,,,2,2,4,,,,,,
Zombie,Rum,Gold rum,151 proof rum,Pernod,Grenadine,Lime Juice,Angostura Bitters,,,1.5,1.5,1,0.1,0.1,0.1,0.001,,
Zorbatini,Vodka,Ouzo,,,,,,,,1.25,0.25,,,,,,,